product_id,product_name,median_value_score,mean_value_score,markets_evaluated,median_weighted_rating,median_price_usd,max_review_count
286677,HEJNE,0.30844907407407407,0.3073612800503717,17,4.496110537151691,6.273132174894925,189.0
286917,VARDAGEN,-0.16165413533834588,-0.11170485488905012,15,4.499592138394327,6.885057471264368,1956.0
287295,SNITTA,-0.2842356687898089,-0.23878251899531963,21,4.400840271275676,5.735632183908046,1166.0
287808,HEJNE,0.09725092238895479,0.08948463432109238,4,4.402420635499757,10.64476577462077,393.0
289261,VARDAGEN,0.6743119266055045,0.6247753663273969,9,4.6939155817546965,1.3844023996308261,716.0
290622,HOPPVALS,-0.18110236220472442,-0.1741262534833716,23,4.300990039387319,41.90296156269691,2805.0
290778,FLISAT,0.546767537826685,0.2556638541082971,15,4.691593284714504,19.528735632183906,506.0
290783,FLISAT,0.24735249621785171,0.22910241394684092,7,4.585686160386813,28.72413793103448,164.0
291419,STAJLIG,0.40857787810383744,0.34605016425512913,25,4.694786841645445,5.735632183908046,827.0
291674,LAPPVIKEN,-0.019125683060109283,-0.018297294361935477,7,4.303088266508729,11.27141568981064,887.0
291787,SILVERHÖJDEN,-0.5323383084577115,-0.5140777925368002,5,4.401715312397242,14.93103448275862,562.0
291848,HANVIKEN,0.16527382645803698,0.1617594827589225,4,4.49582839995026,15.473377749081767,175.0
291928,VARDAGEN,-0.4649702598642773,-0.4617864475574667,30,4.301873244765684,6.063929533309252,1474.0
292094,SILVERHÖJDEN,-0.18627450980392157,-0.2035132462851413,3,4.403871133036577,5.9990770650669125,562.0
294979,KARMSUND,-0.21376811594202894,-0.18428510880684296,23,4.591909568914286,17.17640320733104,304.0
295304,BESTÅ,-0.3448275862068966,-0.3363156909435054,9,4.160329067833962,45.97701149425287,88.0
295530,BESTÅ,0.1924798304738562,0.19107038907429966,6,4.4029434354745565,6.462938667062735,320.0
295549,BESTÅ,0.014492753623188415,-0.024638751130156594,3,4.490415252266668,8.357709987463435,1536.0
295554,BESTÅ,0.13251366120218577,0.12087557106037178,23,4.400640206686229,8.034279592929835,1536.0
295813,VARIERA,-0.7158736683451512,-0.7188128681931815,8,4.3111795247616005,15.0103138960143,232.0
296172,ELVARLI,0.24056681774791233,0.2167666862148439,14,4.490181477931708,9.725897920604915,70.0
296214,ELVARLI,0.4078947368421052,0.3722115137797648,11,4.568613026390362,9.195402298850574,65.0
297553,VILBORG,-0.2876184438809555,-0.3284457331083177,22,4.400923752265925,61.654551425356445,1059.0
297850,UPPHETTA,-0.25757575757575757,-0.28924797331698265,7,4.4997450542084865,9.183908045977011,3140.0
298128,TYSSEDAL,-0.3419618528610354,-0.3432544735505588,11,4.584400486170059,409.8276569552729,149.0
299689,BRENNÅSEN,0.15591366055588413,0.15843956685083208,4,4.585764378089618,37.35632183908046,165.0
299825,KRAGSTA,0.18281249999999993,0.19156780725254027,13,4.685651078796091,113.79310344827586,289.0
300664,BRIMNES,0.1062291434927698,0.08759938863282103,7,4.683186569429008,114.9310344827586,244.0
301908,BUSBASSE,0.21951219512195125,0.2279305931174965,13,4.682588463203162,5.735632183908046,432.0
306920,IKORNNES,-0.7716535433070866,-0.7384485036614481,19,4.307533372480862,34.27368008619845,353.0
307552,BESTÅ,0.45385263480392163,0.4252062644847947,16,4.59110880952355,11.482758620689655,275.0
309198,VIDJA,-0.19183568489124042,-0.24904240437600425,26,4.499081962588826,45.96551724137931,859.0
309594,ELVARLI,0.013751078515962037,-0.014464441630181315,10,4.036916180690412,4.059454810960071,55.0
309829,LÄMPLIG,-0.26494285714285715,-0.28064894188024286,32,4.5990781603646145,17.229885057471265,2808.0
310960,CACTACEAE,0.3717532467532467,0.331499380101011,15,4.680679303466667,5.735632183908046,210.0
314468,SKOGSKLÖVER,-0.11387942178869437,-0.09890355777425827,8,4.2027481346832545,30.06255205730468,1654.0
315726,PERSILLADE,0.4666666666666666,0.49389050182833605,7,4.730279563937079,3.4367816091954024,1169.0
316047,BORGHAMN,0.827572601010101,0.8143125991832025,18,4.777435931601455,6.909281861146031,257.0
317527,ELVARLI,0.26839237057220705,0.2656828767706147,3,4.490181477931708,6.856695072974826,64.0
318942,OFTAST,0.921106392669596,0.8412270411972169,32,4.797584617045699,0.7406818912810316,2551.0
319017,OFANTLIGT,-0.13057324840764328,-0.13931365902783116,13,4.577922721952542,8.034482758620689,100.0
319022,OFANTLIGT,0.09920634920634919,0.0951925816998757,21,4.685016602688436,5.735632183908046,276.0
320054,LILLABO,-0.29268292682926833,-0.2545246230799022,29,4.598044205097898,13.387787895018748,1314.0
320134,FLEKKE,-0.49781586021505375,-0.4363050055087372,22,4.211544927614071,412.0076110278936,380.0
320723,IDÅSEN,-0.09734513274336276,-0.0946211059112812,17,4.656812560690197,543.7026841018582,84.0
320799,SKÅDIS,0.495253164556962,0.47248027273627785,22,4.692633580585953,3.5778205805648833,580.0
320803,SKÅDIS,-0.0993788819875776,-0.08697608508739949,7,4.599165828110919,14.829461196243203,3105.0
321015,KRUMMELUR,-0.03438280859570214,-0.052516077703402,6,4.578990977341936,70.01182843610499,106.0
321317,ÅRSTID,0.1470588235294118,0.08758522360897855,29,4.795288444335915,57.45977011494253,1299.0
321614,SKÅDIS,0.3414985590778098,0.3269184184240955,19,4.594361214697835,3.097040605643496,444.0
324518,KALLAX,0.2282608695652174,0.218394128146608,3,4.862766889257675,75.52117052958695,962.0
328540,BROGRUND,-0.12017650779936123,-0.08235726885468214,24,4.401763973741844,6.865978632781758,546.0
329040,BERÄKNA,-0.2676767676767676,-0.2717039634035406,15,4.494036156965927,8.940123881624226,117.0
329790,PINNIG,-0.27888418079096045,-0.22604829853987168,16,4.496129236492308,22.719919693287114,190.0
330944,PLATSA,-0.22119520149003244,-0.2245968027766264,6,4.404829520341749,59.181321115934345,188.0
